Endpoint,Description,Success,Status_Code,Response_Time_ms,Data_Count,Error
quote_asset,Consultar cotação de ativo,True,200,14.1,63,
high_list,Consultar maiores altas do índice,True,200,16.65,10,
fall_list,Consultar maiores baixas do índice,True,200,16.11,10,
list_market,Consultar lista de mercados,True,200,15.72,15,
company_quotes,Consultar lista de papéis da empresa (options),True,200,653.08,0,
quotes_index,Consultar lista de ativos de um índice,True,200,120.9,84,
options_quote,Consultar lista de opções de um ativo,True,200,19.08,0,
index_list,Consultar lista de índices de um mercado,True,200,17.0,58,
quote_information,Consultar informações de um ativo,True,200,18.61,11,
book,Consultar livro de ofertas,True,200,17.77,3,
mini_book,Consultar melhores ofertas do livro de ofertas,True,200,18.96,4,
aggregated_book,Consultar livro de ofertas agregado,True,200,17.39,3,
news_by_date,Consultar notícias por período,True,200,13950.1,34900,
news_by_code,Consultar notícias por código,True,200,18.09,0,
relevant_facts,Consultar fatos relevantes por período,True,200,420.5,203,
relevant_facts_by_quote,Consultar fatos relevantes de um ativo por período,False,401,47.13,,
